Stage,Table,Metric,Column,Value
Initial,customers,Missing,CustomerID,0
Initial,customers,Missing,CompanyName,0
Initial,customers,Missing,Industry,10
Initial,customers,Missing,Country,0
Initial,customers,Missing,City,0
Initial,customers,Missing,EmployeeCount,5
Initial,customers,Missing,SignupDate,0
Initial,customers,Missing,AcquisitionChannel,6
Initial,customers,Rows,,425
Initial,customers,DuplicateRows,,5
Initial,subscriptions,Missing,SubscriptionID,0
Initial,subscriptions,Missing,CustomerID,0
Initial,subscriptions,Missing,PlanName,0
Initial,subscriptions,Missing,BillingTerm,0
Initial,subscriptions,Missing,Seats,4
Initial,subscriptions,Missing,MRR,7
Initial,subscriptions,Missing,StartDate,0
Initial,subscriptions,Missing,EndDate,318
Initial,subscriptions,Missing,Status,0
Initial,subscriptions,Rows,,448
Initial,subscriptions,DuplicateRows,,6
Initial,usage,Missing,CustomerID,0
Initial,usage,Missing,SubscriptionID,0
Initial,usage,Missing,Month,0
Initial,usage,Missing,Logins,0
Initial,usage,Missing,ActiveUsers,15
Initial,usage,Missing,FeatureUsed,0
Initial,usage,Missing,APICalls,0
Initial,usage,Missing,SessionMinutes,25
Initial,usage,Rows,,4724
Initial,usage,DuplicateRows,,18
Initial,tickets,Missing,TicketID,0
Initial,tickets,Missing,CustomerID,0
Initial,tickets,Missing,OpenedDate,0
Initial,tickets,Missing,Category,0
Initial,tickets,Missing,Priority,0
Initial,tickets,Missing,ResolutionHours,14
Initial,tickets,Missing,SatisfactionScore,22
Initial,tickets,Rows,,1409
Initial,tickets,DuplicateRows,,9
Final,customers,Missing,CustomerID,0
Final,customers,Missing,CompanyName,0
Final,customers,Missing,Industry,0
Final,customers,Missing,Country,0
Final,customers,Missing,City,0
Final,customers,Missing,EmployeeCount,0
Final,customers,Missing,SignupDate,0
Final,customers,Missing,AcquisitionChannel,0
Final,customers,Rows,,420
Final,customers,DuplicateRows,,0
Final,subscriptions,Missing,SubscriptionID,0
Final,subscriptions,Missing,CustomerID,0
Final,subscriptions,Missing,PlanName,0
Final,subscriptions,Missing,BillingTerm,0
Final,subscriptions,Missing,Seats,0
Final,subscriptions,Missing,MRR,0
Final,subscriptions,Missing,StartDate,0
Final,subscriptions,Missing,EndDate,311
Final,subscriptions,Missing,Status,0
Final,subscriptions,Rows,,437
Final,subscriptions,DuplicateRows,,0
Final,usage,Missing,CustomerID,0
Final,usage,Missing,SubscriptionID,0
Final,usage,Missing,Month,0
Final,usage,Missing,Logins,0
Final,usage,Missing,ActiveUsers,0
Final,usage,Missing,FeatureUsed,0
Final,usage,Missing,APICalls,0
Final,usage,Missing,SessionMinutes,0
Final,usage,Rows,,4640
Final,usage,DuplicateRows,,0
Final,tickets,Missing,TicketID,0
Final,tickets,Missing,CustomerID,0
Final,tickets,Missing,OpenedDate,0
Final,tickets,Missing,Category,0
Final,tickets,Missing,Priority,0
Final,tickets,Missing,ResolutionHours,0
Final,tickets,Missing,SatisfactionScore,0
Final,tickets,Rows,,1379
Final,tickets,DuplicateRows,,0
